id,title,release_date,genres,original_language,vote_average,vote_count,popularity,overview,budget,production_companies,revenue,runtime,tagline,release_year,release_month
15402,The Notorious Bettie Page,2005-09-14,"['Comedy', 'Drama']",English,6.4,132.0,12.742,"Bettie Page grew up in a conservative religious family in Tennessee and became a photo model sensation in 1950s New York. Bettie's legendary pin-up photos made her the target of a Senate investigation into pornography, and transformed her into an erotic icon who continues to enthrall fans to this day.",90.0,"['John Wells Productions', 'HBO Films', 'Killer Films']",1410778.0,91.0,The Pin-Up Sensation That Shocked The Nation.,2005,09
23367,Bandslam,2009-08-06,"['Comedy', 'Drama', 'Family', 'Music', 'Romance']",English,5.8,427.0,12.741,A high school social outcast and the popular girl bond through a shared love of music.,20000000.0,"['Summit Entertainment', 'Walden Media', 'Goldsmith-Thomas Productions']",12225023.0,111.0,Band Together,2009,08
164558,One Direction: This Is Us,2013-08-29,"['Documentary', 'Music']",English,8.4,969.0,12.731,"""One Direction: This Is Us"" is a captivating and intimate all-access look at life on the road for the global music phenomenon. Weaved with stunning live concert footage, this inspiring feature film tells the remarkable story of Niall, Zayn, Liam, Harry and Louis's really like to be One Direction.",10000000.0,"['Sony Pictures', 'TriStar Pictures']",68500000.0,92.0,Experience their lives on the road,2013,08
11933,Nothing but Trouble,1991-02-14,"['Comedy', 'Adventure']",English,5.2,295.0,12.73,"While attempting to seduce gorgeous lawyer Diane Lightson, wealthy gadabout Chris Thorne agrees to drive her to Atlantic City, N.J. But, when some reckless driving draws the attention of a deeply critical cop, they and the flamboyant ""Brazillionaires"" who tagged along end up in the court of a grotesque and vengeful judge, who has a special vendetta against the wealthy and erudite.",40000000.0,"['Applied Action', 'Warner Bros. Pictures']",8479793.0,94.0,All they wanted was a little getaway. All they got was nothing but trouble.,1991,02
9290,Crocodile Dundee in Los Angeles,2001-04-12,"['Adventure', 'Comedy']",English,5.2,540.0,12.728,"After settling in the tiny Australian town of Walkabout Creek with his significant other and his young son, Mick ""Crocodile"" Dundee is thrown for a loop when a prestigious Los Angeles newspaper offers his honey a job. The family migrates back to the United States, and Croc and son soon find themselves learning some lessons about American life -- many of them inadvertent",21150000.0,"['Bungalow Productions', 'Silver Lion Films', 'Vision View Entertainment']",39438674.0,95.0,He heard there was wildlife in L.A. He didn't know how wild.,2001,04
12819,Alpha and Omega,2010-09-16,"['Animation', 'Family', 'Comedy', 'Adventure', 'Romance']",English,5.9,461.0,12.727,"Two young wolves at opposite ends of their pack's social order are thrown together into a foreign land and need each other to return home, but love complicates everything.",20000000.0,"['Crest Animation Productions', 'Relativity Media', 'Lionsgate']",50500000.0,88.0,A Pawsome 3D Adventure.,2010,09
275601,Ricki and the Flash,2015-07-10,"['Comedy', 'Drama', 'Music']",English,5.8,661.0,12.726,"Meryl Streep stars as Ricki Rendazzo, a guitar heroine who made a world of mistakes as she followed her dreams of rock-and-roll stardom. Returning home, Ricki gets a shot at redemption and a chance to make things right as she faces the music with her family.",18000000.0,"['LStar Capital', 'Clinica Estetico', 'TriStar Pictures']",41325328.0,100.0,Get Ready for Ricki.,2015,07
9895,Man of the Year,2006-10-09,"['Comedy', 'Romance', 'Thriller']",English,5.9,381.0,12.726,"The irreverent host of a political satire talk show decides to run for president and expose corruption in Washington. His stunt goes further than he expects when he actually wins the election, but a software engineer suspects that a computer glitch is responsible for his surprising victory.",20000000.0,"['Universal Pictures', 'Morgan Creek']",42472472.0,115.0,Elections are made to be broken.,2006,10
10215,Sliding Doors,1998-04-23,"['Comedy', 'Drama', 'Fantasy', 'Romance']",English,6.6,1162.0,12.725,"London publicist Helen, effortlessly slides between parallel storylines that show what happens when she does or does not catch a train back to her apartment. Love. Romantic entanglements. Deception. Trust. Friendship. Comedy. All come into focus as the two stories shift back and forth, overlap and surprisingly converge.",6000000.0,"['Paramount', 'Intermedia Films', 'Mirage Enterprises', 'Miramax']",58809149.0,99.0,What if one split second sent your life in two completely different directions?,1998,04
26388,Buried,2010-09-24,"['Drama', 'Thriller', 'Mystery']",English,6.6,2527.0,12.724,Paul is a U.S. truck driver working in Iraq. After an attack by a group of Iraqis he wakes to find he is buried alive inside a coffin. With only a lighter and a cell phone it's a race against time to escape this claustrophobic death trap.,1987650.0,"['Versus Entertainment', 'The Safran Company', 'Dark Trick Films', 'Studio 37', 'Atresmedia', 'Canal+ España', 'Lionsgate']",19152480.0,94.0,"170,000 sq miles of desert. 90 minutes of oxygen. No way out.",2010,09
